strategy,rep,max_lc_unfusions,max_p_unfusions,qubits,depth,pt,pcnot,initial_gate_count,initial_2Q_count,initial_T_count,final_gate_count,final_2Q_count,final_T_count,optimisation_time,2Q_reduction,gate_reduction
cFlow,0,2.0,4.0,10,1000,0.01,0.3,1000,300,12,475,244,10,60.56499195913784,18.666666666666668,52.5
cFlow,0,3.0,4.0,10,1000,0.01,0.3,1000,300,12,477,242,10,54.77769166603685,19.33333333333333,52.3
cFlow,0,4.0,4.0,10,1000,0.01,0.3,1000,300,12,481,242,10,60.273045415990055,19.33333333333333,51.9
cFlow,0,5.0,4.0,10,1000,0.01,0.3,1000,300,12,475,238,10,56.71485650003888,20.666666666666668,52.5
cFlow,0,0.0,5.0,10,1000,0.01,0.3,1000,300,12,478,250,10,52.04074504203163,16.666666666666668,52.2
cFlow,0,1.0,5.0,10,1000,0.01,0.3,1000,300,12,473,246,10,61.11500274995342,18.0,52.7
cFlow,0,2.0,5.0,10,1000,0.01,0.3,1000,300,12,475,244,10,57.543899750104174,18.666666666666668,52.5
cFlow,0,3.0,5.0,10,1000,0.01,0.3,1000,300,12,477,242,10,55.04650675016455,19.33333333333333,52.3
cFlow,0,4.0,5.0,10,1000,0.01,0.3,1000,300,12,477,242,10,64.37721162498929,19.33333333333333,52.3
cFlow,0,5.0,5.0,10,1000,0.01,0.3,1000,300,12,475,238,10,57.576998916920274,20.666666666666668,52.5
full_reduce,0,,,10,1000,0.02,0.3,1000,292,19,279,185,19,0.0683428749907761,36.64383561643836,72.1
gFlow,0,,,10,1000,0.02,0.3,1000,292,19,535,266,19,0.2306673340499401,8.904109589041095,46.5
ZX-heur,0,,,10,1000,0.02,0.3,1000,292,19,518,279,19,6.486685917014256,4.452054794520548,48.2
cFlow,0,0.0,0.0,10,1000,0.02,0.3,1000,292,19,509,264,19,1.3921936249826103,9.58904109589041,49.1
cFlow,0,1.0,0.0,10,1000,0.02,0.3,1000,292,19,513,264,19,3.590665500145405,9.58904109589041,48.7
cFlow,0,2.0,0.0,10,1000,0.02,0.3,1000,292,19,502,257,19,6.994723875075579,11.986301369863014,49.8
cFlow,0,3.0,0.0,10,1000,0.02,0.3,1000,292,19,504,257,19,10.099256583023816,11.986301369863014,49.6
cFlow,0,4.0,0.0,10,1000,0.02,0.3,1000,292,19,504,257,19,12.682887041941283,11.986301369863014,49.6
cFlow,0,5.0,0.0,10,1000,0.02,0.3,1000,292,19,501,254,19,12.724255874985827,13.013698630136986,49.9
cFlow,0,0.0,1.0,10,1000,0.02,0.3,1000,292,19,502,261,19,10.455830957973376,10.616438356164384,49.8
cFlow,0,1.0,1.0,10,1000,0.02,0.3,1000,292,19,518,262,19,12.939045832958072,10.273972602739724,48.2
cFlow,0,2.0,1.0,10,1000,0.02,0.3,1000,292,19,505,259,19,16.160598875023425,11.3013698630137,49.5
cFlow,0,3.0,1.0,10,1000,0.02,0.3,1000,292,19,500,257,19,18.912633833941072,11.986301369863014,50.0
cFlow,0,4.0,1.0,10,1000,0.02,0.3,1000,292,19,510,257,19,20.38360633305274,11.986301369863014,49.0
cFlow,0,5.0,1.0,10,1000,0.02,0.3,1000,292,19,505,254,19,20.625164750032127,13.013698630136986,49.5
cFlow,0,0.0,2.0,10,1000,0.02,0.3,1000,292,19,489,248,19,35.467436499893665,15.068493150684931,51.1
