rewrite,num_unf,score,total,flow_preserving,non_flow_preserving
pivot,2,-46,337,0,0
pivot,2,-45,1961,0,0
pivot,2,-44,184,0,0
pivot,2,-43,13,0,0
pivot,2,-42,16,0,0
pivot,2,-41,11,0,0
pivot,2,-40,2790,0,0
pivot,2,-39,785,0,0
pivot,2,-38,733,0,0
pivot,2,-37,196,0,0
pivot,2,-36,4665,0,0
pivot,2,-35,4252,0,0
pivot,2,-34,1908,0,0
pivot,2,-33,1261,0,0
pivot,2,-32,5302,0,0
pivot,2,-31,2399,0,0
pivot,2,-30,19436,0,0
pivot,2,-29,6365,0,0
pivot,2,-28,14435,0,0
pivot,2,-27,7233,0,0
pivot,2,-26,7008,0,0
pivot,2,-25,30470,0,0
pivot,2,-24,53113,0,0
pivot,2,-23,19363,0,0
pivot,2,-22,20685,0,0
pivot,2,-21,32642,0,0
pivot,2,-20,122812,0,0
pivot,2,-19,23402,0,0
pivot,2,-18,131321,0,0
pivot,2,-17,21534,0,0
pivot,2,-16,175535,0,0
pivot,2,-15,266625,0,0
pivot,2,-14,138495,0,0
pivot,2,-13,70272,0,0
pivot,2,-12,778812,0,0
pivot,2,-11,72777,0,0
pivot,2,-10,673870,0,0
pivot,2,-9,660285,0,0
pivot,2,-8,1254484,0,0
pivot,2,-7,280344,0,0
pivot,2,-6,2788513,0,0
pivot,2,-5,884436,0,0
pivot,2,-4,3855982,0,0
pivot,2,-3,3220150,0,0
pivot,2,-2,5333798,0,0
pivot,2,-1,3345503,0,0
pivot,2,0,484278,0,0
pivot,2,1,62311,7755,8807
pivot,2,2,3408,326,219
pivot,2,3,44,9,1
pivot,2,4,8,0,0
pivot,3,-30,2975,0,0
pivot,3,-29,1365,0,0
pivot,3,-28,6756,0,0
pivot,3,-27,3000,0,0
pivot,3,-26,588,0,0
pivot,3,-25,12591,0,0
pivot,3,-24,29182,0,0
pivot,3,-23,7159,0,0
pivot,3,-22,5805,0,0
pivot,3,-21,25183,0,0
pivot,3,-20,77273,0,0
pivot,3,-19,19882,0,0
pivot,3,-18,79619,0,0
pivot,3,-17,10939,0,0
pivot,3,-16,136800,0,0
pivot,3,-15,162057,0,0
pivot,3,-14,102204,0,0
pivot,3,-13,44811,0,0
pivot,3,-12,483373,0,0
pivot,3,-11,39413,0,0
pivot,3,-10,371294,0,0
pivot,3,-9,314991,0,0
pivot,3,-8,712791,0,0
pivot,3,-7,174969,0,0
pivot,3,-6,1393121,0,0
pivot,3,-5,558344,0,0
pivot,3,-4,2049149,0,0
pivot,3,-3,1680928,0,0
pivot,3,-2,2669911,0,0
pivot,3,-1,1617837,0,0
pivot,3,0,190014,0,0
pivot,3,1,28413,2471,6017
pivot,3,2,1328,106,271
pivot,3,3,12,0,0
pivot,4,-24,9604,0,0
pivot,4,-23,4550,0,0
pivot,4,-22,700,0,0
pivot,4,-21,8031,0,0
pivot,4,-20,24338,0,0
pivot,4,-19,4144,0,0
pivot,4,-18,39302,0,0
pivot,4,-17,11390,0,0
pivot,4,-16,38676,0,0
pivot,4,-15,83582,0,0
pivot,4,-14,30776,0,0
pivot,4,-13,13065,0,0
pivot,4,-12,259194,0,0
pivot,4,-11,30083,0,0
pivot,4,-10,172862,0,0
pivot,4,-9,200014,0,0
pivot,4,-8,334493,0,0
pivot,4,-7,65886,0,0
pivot,4,-6,684597,0,0
pivot,4,-5,220369,0,0
pivot,4,-4,849519,0,0
pivot,4,-3,721486,0,0
pivot,4,-2,1003015,0,0
pivot,4,-1,578313,0,0
pivot,4,0,67837,0,0
pivot,4,1,9586,588,2366
pivot,4,2,389,27,100
pivot,4,3,22,0,0
pivot,5,-20,4634,0,0
pivot,5,-19,2086,0,0
pivot,5,-18,5915,0,0
pivot,5,-17,539,0,0
pivot,5,-16,6321,0,0
pivot,5,-15,24853,0,0
pivot,5,-14,7147,0,0
pivot,5,-13,3398,0,0
pivot,5,-12,49662,0,0
pivot,5,-11,4496,0,0
pivot,5,-10,62408,0,0
pivot,5,-9,50174,0,0
pivot,5,-8,87940,0,0
pivot,5,-7,10487,0,0
pivot,5,-6,175776,0,0
pivot,5,-5,83712,0,0
pivot,5,-4,228583,0,0
pivot,5,-3,190461,0,0
pivot,5,-2,248196,0,0
pivot,5,-1,126285,0,0
pivot,5,0,16121,0,0
pivot,5,1,2092,111,507
pivot,5,2,58,5,7
pivot,5,3,1,1,0
pivot,5,4,2,0,0
